equipo,partido,ptiempo,con,segundos,tag_id,numero,x_pos,y_pos,heading,direction,energy,speed,total_distance.x,total_distance.y,high_intensity_distance,sprint_distance,total_effort,colour,total_effort_diff,total_energy_diff,total_dist_diff,total_sprint_diff
E1,P2,T1,18:15:006,900,6,12,46.2611,67.8541,-2.47556,0,36.4342,0,35.4837,35.4837,0.937756,1.14067,36.4342,#96FF00,0.0014,0.0018,0,0
E1,P2,T1,18:30:006,1200,6,12,46.2611,67.8541,-2.47556,0,36.4342,0,35.4837,35.4837,0.937756,1.14067,36.4342,#96FF00,0.0014,0.0018,0,0
E1,P2,T1,18:30:006,1500,6,12,18.3058,70.9029,-0.854952,0.776802,234.719,0.244771,211.843,212.065,0.937756,1.14067,234.996,#96FF00,0.486,0.486,0.367,0
E1,P2,T1,18:30:006,1800,6,12,18.3058,70.9029,-0.854952,0.776802,234.719,0.244771,211.843,212.065,0.937756,1.14067,234.996,#96FF00,0.486,0.486,0.367,0
E1,P2,T1,18:30:006,2100,6,12,18.3058,70.9029,-0.854952,0.776802,234.719,0.244771,211.843,212.065,0.937756,1.14067,234.996,#96FF00,0.486,0.486,0.367,0
E1,P2,T1,18:30:006,2400,6,12,46.2611,67.8541,-2.47556,0,36.4342,0,35.4837,35.4837,0.937756,1.14067,36.4342,#96FF00,0.0014,0.0018,0,0
E1,P2,T1,18:30:006,2700,6,12,18.3058,70.9029,-0.854952,0.776802,234.719,0.244771,211.843,212.065,0.937756,1.14067,234.996,#96FF00,0.486,0.486,0.367,0
E1,P2,T1,18:30:007,69,7,12,103.883,0.21343,0.389626,0.75596,2057.93,0.515605,2318.43,2318.54,167.132,72.3385,2058.32,#3CFF00,11.18,10.82,3.09,0
E1,P2,T1,18:05:007,300,7,12,65.4296,62.1639,-2.24642,3.11995,899.268,1.59339,960.576,960.987,88.0859,34.1257,900.181,#3CFF00,2.05,4.282,1.145,0
E1,P2,T1,18:10:007,600,7,12,24.5789,30.6293,1.77321,1.61093,1606.28,3.58222,1731.02,1733.55,145.462,52.2731,1608.06,#3CFF00,4.1,2.4,8.17,0
E1,P2,T1,18:15:007,900,7,12,103.883,0.21343,0.389626,0.75596,2057.93,0.515605,2318.43,2318.54,167.132,72.3385,2058.32,#3CFF00,11.18,10.82,3.09,0
E1,P2,T1,18:20:007,1200,7,12,42.5926,44.1291,-2.10165,-2.46526,2797.15,1.29055,3011.82,3012.53,195.057,72.3385,2797.43,#3CFF00,0.58,0.5,1.28,0
E1,P2,T1,18:30:007,1500,7,12,103.883,0.21343,0.389626,0.75596,2057.93,0.515605,2318.43,2318.54,167.132,72.3385,2058.32,#3CFF00,11.18,10.82,3.09,0
